track_id,track_name,artist_name,album_name,genre,mood,danceability,energy,valence,acousticness,audio_url,image_url,lyrics_snippet
S7849A3C,"Andante, Andante",ABBA,Abba — Pop Collection,Pop,Calm,0.91,0.27,0.12,0.6,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,"Take it easy with me, please / Touch me gently like a summer evening breeze / Take your time, make it slow"
SB66DF8A,As Good As New,ABBA,Abba — Pop Collection,Pop,Romantic,0.49,0.42,0.9,0.74,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"I'll never know why I had to go / Why I had to put up such a lousy rotten show / Boy, I was tough, packing all my stuff"
S54F6491,Bang,ABBA,Abba — Pop Collection,Pop,Romantic,0.31,0.57,0.69,0.21,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-4.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,"Making somebody happy is a question of give and take / You can learn how to show it so come on, give yourself a break / Every smile and every little touch"
S0C2D59C,Bang-A-Boomerang,ABBA,Abba — Pop Collection,Pop,Romantic,0.71,0.51,0.78,0.38,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-5.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"Making somebody happy is a question of give and take / You can learn how to show it so come on, give yourself a break / Every smile and every little touch"
S29B5DA7,Cassandra,ABBA,Abba — Pop Collection,Pop,Sad,0.79,0.56,0.54,0.23,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-7.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,Down in the street they're all singing and shouting / Staying alive though the city is dead / Hiding their shame behind hollow laughter
S0215379,Chiquitita,ABBA,Abba — Pop Collection,Pop,Sad,0.91,0.81,0.45,0.11,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-8.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,"Chiquitita, tell me what's wrong / You're enchained by your own sorrow / In your eyes there is no hope for tomorrow"
SF542B35,Crazy World,ABBA,Abba — Pop Collection,Pop,Sad,0.46,0.59,0.17,0.76,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-9.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,"I was out with the morning sun / Couldn't sleep, so I thought I'd take a walk / I was thinking of you and me"
S43C5A62,Crying Over You,ABBA,Abba — Pop Collection,Pop,Sad,0.64,0.52,0.53,0.17,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-10.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,I'm waitin' for you baby / I'm sitting all alone / I feel so cold without you
S9699B8D,Dance,ABBA,Abba — Pop Collection,Pop,Sad,0.94,0.52,0.24,0.79,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-11.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"Oh, my love it makes me sad. / Why did things turn out so bad? / Was it just a dream, everything we did, everything we had?"
S5C820E2,Dancing Queen,ABBA,Abba — Pop Collection,Pop,Sad,0.54,0.9,0.17,0.1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-12.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"You can dance, you can jive, having the time of your life / See that girl, watch that scene, diggin' the Dancing Queen / Friday night and the lights are low"
S2E48F1B,Does Your Mother Know,ABBA,Abba — Pop Collection,Pop,Energetic,0.94,0.59,0.85,0.41,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-14.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,"You're so hot, teasing me / So you're blue but I can't take a chance on a chick like you / That's something I couldn't do"
S6D55334,Dream World,ABBA,Abba — Pop Collection,Pop,Romantic,0.74,0.89,0.65,0.24,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-15.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,Agnetha We're not the stars of a Hollywood movie / So what's the use to pretend / I'm not so charming and you're not so groovy
S4705CC7,Dum Dum Diddle,ABBA,Abba — Pop Collection,Pop,Focus,0.48,0.48,0.71,0.76,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-16.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"I can hear how you work, practising hard / Playing night and day, wo-oh / And it sounds better now, yes you improve"
S844DFB8,Every Good Man,ABBA,Abba — Pop Collection,Pop,Sad,0.78,0.38,0.86,0.9,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,Every good man needs a helping hand / so I travel alone if I can / Every man has a guiding star
S56703C5,Gimme Gimme Gimme,ABBA,Abba — Pop Collection,Pop,Sad,0.34,0.95,0.77,0.62,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-7.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,Half past twelve / And I'm watching the late show in my flat all alone / How I hate to spend the evening on my own
S644D940,Givin' A Little Bit More,ABBA,Abba — Pop Collection,Pop,Sad,0.53,0.51,0.66,0.1,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-8.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,There's a gentleness to everything you do / And it's rubbing off on me I feel it too / I've been waiting but my loneliness I get
SCD0C06B,Hamlet III,ABBA,Abba — Pop Collection,Pop,Sad,0.87,0.44,0.23,0.46,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-10.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,When the autumn leaves are falling to the ground / When the air gets cold then I think of us / Of you and I
S1A6FBB0,"Honey, Honey",ABBA,Abba — Pop Collection,Pop,Sad,0.89,0.27,0.81,0.42,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"Honey honey, how you thrills me, ah-hah, honey honey / Honey honey, nearly kill me, ah-hah, honey honey / I'd heard about you before"
S906097F,I Am Just A Girl,ABBA,Abba — Pop Collection,Pop,Romantic,0.39,0.35,0.96,0.58,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,"I am just a girl / One among the others, nothing much to say / Plain and simple girl"
S222C580,"I Do, I Do, I Do, I Do, I Do",ABBA,Abba — Pop Collection,Pop,Sad,0.41,0.76,0.14,0.75,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-5.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,Love me or leave me / Make your choice but believe me / I love you
SCE8BE6D,I Let The Music Speak,ABBA,Abba — Pop Collection,Pop,Happy,0.74,0.25,0.91,0.32,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-7.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,"I'm hearing images, I'm seeing songs / No poet has ever painted / Voices call out to me, straight to my heart"
SE62AEF0,I Wonder (Departure),ABBA,Abba — Pop Collection,Pop,Sad,0.32,0.38,0.8,0.29,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-9.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,"This park and these houses, old streets I have walked / Everything dear, will it be here / One day when I am returning?"
SEB24F02,I Wonder (Departure) [Live],ABBA,Abba — Pop Collection,Pop,Sad,0.84,0.86,0.98,0.5,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-10.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"This park and these houses / Old streets I have walked / Everything dear, will it be here"
SBB124CD,If It Wasn't For The Nights,ABBA,Abba — Pop Collection,Pop,Focus,0.48,0.43,0.21,0.87,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-11.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,"I got appointments, work I have to do / Keepin' me so busy all the day through / They're the things that keep me from thinkin' of you"
S3F6B536,I've Been Waiting For You,ABBA,Abba — Pop Collection,Pop,Calm,0.63,0.64,0.33,0.43,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-13.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,"I, I've been in love before / I thought I would no more / Manage to hit the ceiling"
SB8FE700,Juper Jrouper,ABBA,Abba — Pop Collection,Pop,Happy,0.69,0.3,0.9,0.8,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-14.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,Super Trooper beams are gonna blind me / But I won't feel blue / Like I always do
SAF2A402,Kisses Of Fire,ABBA,Abba — Pop Collection,Pop,Romantic,0.75,0.61,0.85,0.49,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"Lay your head on my chest so you hear every beat of my heart / Now there's nothing at all that can keep us apart / Touch my lips, close your eyes and see with your fingertips"
S3E515A5,Lay All Your Love On Me,ABBA,Abba — Pop Collection,Pop,Calm,0.83,0.36,0.23,0.89,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,"I wasn't jealous before we met / Now every woman I see is a potential threat / And I'm possessive, it isn't nice"
SF647501,Love Has It's Ways,ABBA,Abba — Pop Collection,Pop,Calm,0.56,0.63,0.95,0.5,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-5.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,Spring in the air / The sun was shining / Still the day was cool
SAB90EAD,Lovelight,ABBA,Abba — Pop Collection,Pop,Romantic,0.62,0.76,0.42,0.36,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-7.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,"I've always hated my room, it's so gloomy and dreary / Always the dark, for the windows just face the back yard / So I can't understand how it's happened, how everything's changing"
SD01661A,Lovers,ABBA,Abba — Pop Collection,Pop,Romantic,0.75,0.48,0.41,0.69,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-8.mp3,https://images.unsplash.com/photo-1535712376625-d8a2b73db0c3?w=300&auto=format&fit=crop,Sit down and listen 'cause I've got good news for you / It was in the papers today / Some physician had made a discovery
S9DE043C,Mamma Mia,ABBA,Abba — Pop Collection,Pop,Sad,0.54,0.86,0.82,0.32,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-9.mp3,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=300&auto=format&fit=crop,"[Chorus] / Mamma mia, here I go again / My my, how can I resist you?"
S630090D,Merry-Go-Round,ABBA,Abba — Pop Collection,Pop,Sad,0.37,0.57,0.32,0.43,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-13.mp3,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=300&auto=format&fit=crop,I have tried in vain never had success / So it seems my life is nothing but a mess / I have lost my only friend
